ds,aclose,close,high,low,open,volume,y,trend,trend_lower,trend_upper,yhat_lower,yhat_upper,seasonal,seasonal_lower,seasonal_upper,seasonalities,seasonalities_lower,seasonalities_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,yhat
2017-07-26,8300,8410,8290,8300,8340,70591,8300.000000000007,9.115076586031918,9.115076586031918,9.115076586031918,7975.701123652878,8503.688063100959,-0.09803253115926779,-0.09803253115926779,-0.09803253115926779,-0.09803253115926779,-0.09803253115926779,-0.09803253115926779,-0.03435397131214986,-0.03435397131214986,-0.03435397131214986,-0.06367855984711795,-0.06367855984711795,-0.06367855984711795,8242.377022213777
2017-07-27,8350,8350,8260,8350,8320,37499,8349.999999999998,9.115125595920711,9.115125595920711,9.115125595920711,8002.689488142651,8536.803739968482,-0.09633546984947436,-0.09633546984947436,-0.09633546984947436,-0.09633546984947436,-0.09633546984947436,-0.09633546984947436,-0.0335945592284728,-0.0335945592284728,-0.0335945592284728,-0.06274091062100155,-0.06274091062100155,-0.06274091062100155,8256.781371189967
2017-07-28,8180,8360,8160,8180,8360,89526,8180.0000000000055,9.115174605809502,9.115174605809502,9.115174605809502,7971.552609078176,8528.5454510377,-0.0979659964954512,-0.0979659964954512,-0.0979659964954512,-0.0979659964954512,-0.0979659964954512,-0.0979659964954512,-0.03621740643317869,-0.03621740643317869,-0.03621740643317869,-0.061748590062272506,-0.061748590062272506,-0.061748590062272506,8243.733453560812
2017-07-31,8180,8270,8100,8180,8100,40980,8180.0000000000055,9.115321635475876,9.115321635475876,9.115321635475876,8059.728267098942,8614.83186797204,-0.09026792779150597,-0.09026792779150597,-0.09026792779150597,-0.09026792779150597,-0.09026792779150597,-0.09026792779150597,-0.03170110893833109,-0.03170110893833109,-0.03170110893833109,-0.05856681885317488,-0.05856681885317488,-0.05856681885317488,8308.660700764953
2017-08-01,8200,8260,8110,8200,8180,59629,8199.999999999998,9.115370645364667,9.115370645364667,9.115370645364667,8056.836166899653,8587.976220512877,-0.08945180587373779,-0.08945180587373779,-0.08945180587373779,-0.08945180587373779,-0.08945180587373779,-0.08945180587373779,-0.03197917300688078,-0.03197917300688078,-0.03197917300688078,-0.057472632866857,-0.057472632866857,-0.057472632866857,8315.851897625138
2017-08-02,8380,8470,8200,8380,8200,145402,8380.0,9.11541965525346,9.11541965525346,9.11541965525346,8025.934035200714,8577.270026653925,-0.09072802951127347,-0.09072802951127347,-0.09072802951127347,-0.09072802951127347,-0.09072802951127347,-0.09072802951127347,-0.03435397131215213,-0.03435397131215213,-0.03435397131215213,-0.05637405819912134,-0.05637405819912134,-0.05637405819912134,8305.6528293423
2017-08-03,8300,8460,8250,8300,8450,81858,8300.000000000007,9.11546866514225,9.11546866514225,9.11546866514225,8073.916522488837,8605.953369485425,-0.08886932905410243,-0.08886932905410243,-0.08886932905410243,-0.08886932905410243,-0.08886932905410243,-0.08886932905410243,-0.03359455922837801,-0.03359455922837801,-0.03359455922837801,-0.055274769825724435,-0.055274769825724435,-0.055274769825724435,8321.51273241541
2017-08-04,8330,8380,8210,8330,8380,74052,8330.000000000005,9.115517675031043,9.115517675031043,9.115517675031043,8050.551176654344,8581.436076303316,-0.09039298345637171,-0.09039298345637171,-0.09039298345637171,-0.09039298345637171,-0.09039298345637171,-0.09039298345637171,-0.03621740643318385,-0.03621740643318385,-0.03621740643318385,-0.054175577023187864,-0.054175577023187864,-0.054175577023187864,8309.25050275766
2017-08-07,8380,8410,8320,8380,8330,35043,8380.0,9.115664704697418,9.115664704697418,9.115664704697418,8091.489528801313,8668.392756871623,-0.08254372082470199,-0.08254372082470199,-0.08254372082470199,-0.08254372082470199,-0.08254372082470199,-0.08254372082470199,-0.031701108938321954,-0.031701108938321954,-0.031701108938321954,-0.050842611886380014,-0.050842611886380014,-0.050842611886380014,8375.960057651175
2017-08-08,8330,8380,8290,8330,8380,28242,8330.000000000005,9.115713714586208,9.115713714586208,9.115713714586208,8106.040249441612,8665.351594071875,-0.08167317336236386,-0.08167317336236386,-0.08167317336236386,-0.08167317336236386,-0.08167317336236386,-0.08167317336236386,-0.03197917300684642,-0.03197917300684642,-0.03197917300684642,-0.04969400035551746,-0.04969400035551746,-0.04969400035551746,8383.665775676804
2017-08-09,8150,8330,8150,8150,8330,93844,8149.999999999995,9.115762724475001,9.115762724475001,9.115762724475001,8106.81779264094,8646.305674081012,-0.0828617243532578,-0.0828617243532578,-0.0828617243532578,-0.0828617243532578,-0.0828617243532578,-0.0828617243532578,-0.03435397131215184,-0.03435397131215184,-0.03435397131215184,-0.04850775304110595,-0.04850775304110595,-0.04850775304110595,8374.117685193136
2017-08-10,8200,8280,8120,8200,8150,54760,8199.999999999998,9.115811734363792,9.115811734363792,9.115811734363792,8119.9687058482095,8678.833202243763,-0.08086451925170367,-0.08086451925170367,-0.08086451925170367,-0.08086451925170367,-0.08086451925170367,-0.08086451925170367,-0.03359455922836706,-0.03359455922836706,-0.03359455922836706,-0.047269960023336596,-0.047269960023336596,-0.047269960023336596,8391.270473492881
2017-08-11,8130,8250,7980,8130,8150,128133,8130.0000000000055,9.115860744252583,9.115860744252583,9.115860744252583,8112.245789362233,8647.116543709632,-0.08218317915879501,-0.08218317915879501,-0.08218317915879501,-0.08218317915879501,-0.08218317915879501,-0.08218317915879501,-0.036217406433187105,-0.036217406433187105,-0.036217406433187105,-0.045965772725607895,-0.045965772725607895,-0.045965772725607895,8380.623257332023
2017-08-14,8500,8540,8200,8500,8240,193156,8500.000000000005,9.116007773918959,9.116007773918959,9.116007773918959,8195.985345644243,8759.58743794133,-0.07320786201769548,-0.07320786201769548,-0.07320786201769548,-0.07320786201769548,-0.07320786201769548,-0.07320786201769548,-0.03170110893823317,-0.03170110893823317,-0.03170110893823317,-0.04150675307946233,-0.04150675307946233,-0.04150675307946233,8457.423977958091
2017-08-16,8580,8620,8470,8580,8560,121847,8580.000000000002,9.116105793696542,9.116105793696542,9.116105793696542,8188.801573584104,8754.843589247603,-0.07230548403435072,-0.07230548403435072,-0.07230548403435072,-0.07230548403435072,-0.07230548403435072,-0.07230548403435072,-0.03435397131214823,-0.03435397131214823,-0.03435397131214823,-0.0379515127222025,-0.0379515127222025,-0.0379515127222025,8465.88899945717
2017-08-17,8610,8660,8530,8610,8550,83360,8610.0,9.116154803585333,9.116154803585333,9.116154803585333,8214.871346712003,8793.15686257271,-0.06956780641423217,-0.06956780641423217,-0.06956780641423217,-0.06956780641423217,-0.06956780641423217,-0.06956780641423217,-0.033594559228444704,-0.033594559228444704,-0.033594559228444704,-0.03597324718578747,-0.03597324718578747,-0.03597324718578747,8489.51368860847
2017-08-18,8710,8720,8530,8710,8530,115578,8709.999999999995,9.116203813474124,9.116203813474124,9.116203813474124,8213.97168234017,8799.183925316676,-0.07007497173340019,-0.07007497173340019,-0.07007497173340019,-0.07007497173340019,-0.07007497173340019,-0.07007497173340019,-0.036217406433190366,-0.036217406433190366,-0.036217406433190366,-0.033857565300209815,-0.033857565300209815,-0.033857565300209815,8485.625062676345
2017-08-21,8730,8920,8670,8730,8740,105319,8730.0,9.1163508431405,9.1163508431405,9.1163508431405,8310.340397198166,8899.850358817212,-0.0584350862132028,-0.0584350862132028,-0.0584350862132028,-0.0584350862132028,-0.0584350862132028,-0.0584350862132028,-0.03170110893831704,-0.03170110893831704,-0.03170110893831704,-0.026733977274885766,-0.026733977274885766,-0.026733977274885766,8586.23618816254
2017-08-22,8920,8920,8740,8920,8840,151222,8919.999999999996,9.116399853029291,9.116399853029291,9.116399853029291,8338.513148893437,8885.843483898132,-0.056119170273180446,-0.056119170273180446,-0.056119170273180446,-0.056119170273180446,-0.056119170273180446,-0.056119170273180446,-0.031979173006892805,-0.031979173006892805,-0.031979173006892805,-0.024139997266287648,-0.024139997266287648,-0.024139997266287648,8606.566029704705
2017-08-23,8990,9080,8910,8990,8940,331724,8990.000000000007,9.116448862918084,9.116448862918084,9.116448862918084,8336.538362826312,8887.584549757237,-0.05582168082883305,-0.05582168082883305,-0.05582168082883305,-0.05582168082883305,-0.05582168082883305,-0.05582168082883305,-0.034353971312156374,-0.034353971312156374,-0.034353971312156374,-0.021467709516676675,-0.021467709516676675,-0.021467709516676675,8609.54871581416
2017-08-24,8820,8980,8740,8820,8980,173195,8820.000000000004,9.116497872806875,9.116497872806875,9.116497872806875,8371.039950452185,8938.443001602323,-0.052337102059838526,-0.052337102059838526,-0.052337102059838526,-0.052337102059838526,-0.052337102059838526,-0.052337102059838526,-0.03359455922843376,-0.03359455922843376,-0.03359455922843376,-0.01874254283140476,-0.01874254283140476,-0.01874254283140476,8640.025133355346
2017-08-25,8840,8880,8770,8840,8880,62896,8840.0,9.116546882695667,9.116546882695667,9.116546882695667,8357.41128476532,8940.70391240852,-0.052211108379958175,-0.052211108379958175,-0.052211108379958175,-0.052211108379958175,-0.052211108379958175,-0.052211108379958175,-0.03621740643319553,-0.03621740643319553,-0.03621740643319553,-0.015993701946762643,-0.015993701946762643,-0.015993701946762643,8641.537300900605
