date,aclose,close,high,low,open,volume,swp01,swp02,swp03,swp04,swp05,swp06,swp07,swp08,swp09,swp10
2017-03-24,8750,8960,8690,8750,8960,162931,,,,,,,,,,
2017-03-27,9060,9070,8750,9060,8770,208086,,,,,,,,,,
2017-03-28,9130,9180,9000,9130,9030,174253,,,,,,,,,,
2017-03-29,9170,9190,9020,9170,9130,109368,,,,,,,,,,
2017-03-30,9160,9190,9070,9160,9190,75552,,,,,,,,,,
2017-03-31,9090,9530,9070,9090,9160,442169,,,,,,,,,,
2017-04-03,9370,9380,9130,9370,9130,183606,,,,,,,,,,
2017-04-04,9280,9420,9200,9280,9410,107813,,,,,,,,,,
2017-04-05,9350,9440,9280,9350,9280,138059,,,,,,,,,,
2017-04-06,9230,9350,9170,9230,9350,77091,,,,,,,,,,
2017-04-07,9400,9500,9260,9400,9260,139263,,,,,,,,,,
2017-04-10,9220,9480,9100,9220,9440,174553,,,,,,,,,,
2017-04-11,9450,9450,9090,9450,9240,155082,,,,,,,,,,
2017-04-12,9380,9550,9340,9380,9430,106840,,,,,,,,,,
2017-04-13,9420,9500,9360,9420,9380,90904,exit,exit,exit,exit,exit,exit,exit,,,
2017-04-14,9230,9500,9220,9230,9430,84913,,,,,,,,,,
2017-04-17,9390,9400,9230,9390,9290,48955,,,,,,,,exit,exit,exit
2017-04-18,9470,9470,9330,9470,9340,78044,,,,,,,,,,
2017-04-19,9470,9490,9400,9470,9470,87039,,,,,,,,,,
2017-04-20,9430,9510,9400,9430,9480,73407,,,,,,,,,,
2017-04-21,9370,9470,9300,9370,9430,66448,,,,,,,,,,
2017-04-24,9170,9410,9130,9170,9410,101982,enter,enter,enter,enter,enter,enter,enter,enter,enter,enter
2017-04-25,9240,9260,9180,9240,9180,47317,,,,,,,,,,
2017-04-26,9210,9300,9180,9210,9250,62915,,,,,,,,,,
2017-04-27,9220,9270,9160,9220,9200,54630,,,,,,,,,,
2017-04-28,9200,9280,9180,9200,9280,59476,,,,,,,,,,
2017-05-02,9120,9260,9120,9120,9210,57006,,,,,,,,,,
2017-05-04,9290,9300,9090,9290,9090,96510,,,,,,,,,,
2017-05-08,9440,9490,9300,9440,9300,189911,,,,,,,,,,
2017-05-10,9210,9460,9200,9210,9440,120807,,,,,,,,,,
2017-05-11,9300,9320,9190,9300,9250,76777,,,,,,,,,,
2017-05-12,9150,9300,9120,9150,9300,74236,,,,,,,,,,
2017-05-15,9050,9240,9000,9050,9240,111684,,,,,,,,,,
2017-05-16,8800,9100,8730,8800,9100,161039,,,,,,,,,,
2017-05-17,8790,8920,8740,8790,8800,76934,,,,,,,,,,
2017-05-18,8650,8770,8600,8650,8770,117171,,,,,,,,,,
2017-05-19,8790,8820,8620,8790,8620,60575,,,,,,,,,,
2017-05-22,8690,8790,8680,8690,8790,71350,,,,,,,,,,
2017-05-23,8700,8740,8660,8700,8740,63183,,,,,,,,,,
2017-05-24,8830,8880,8780,8830,8780,56837,exit,exit,exit,exit,exit,exit,exit,exit,exit,exit
2017-05-25,8810,8850,8790,8810,8820,69759,,,,,,,,,,
2017-05-26,8780,8820,8700,8780,8810,83211,,,,,,,,,,
2017-05-29,8760,8830,8750,8760,8810,53923,,,,,,,,,,
2017-05-30,8850,8910,8760,8850,8760,70891,,,,,,,,,,
2017-05-31,8990,9090,8830,8990,8830,150658,,,,,,,,,,
2017-06-01,8940,9040,8840,8940,9010,89610,,,,,,,,,,
2017-06-02,9000,9020,8870,9000,8940,90581,,,,,,,,,,
2017-06-05,9140,9240,8970,9140,8990,177175,,,,,,,,,,
2017-06-07,9090,9160,8990,9090,9150,108208,,,,,,,,,,
2017-06-08,9130,9210,8970,9130,9080,255999,,,,,,,,,,
2017-06-09,9050,9180,9000,9050,9140,124202,,,,,,,,,,
2017-06-12,8870,9080,8870,8870,9020,72203,,,,,,,,,,
2017-06-13,9040,9090,8900,9040,8930,138036,,,,,,,,,,
2017-06-14,8960,9080,8960,8960,9080,97462,,,,,,,,,,
2017-06-15,8810,8980,8770,8810,8970,173542,,,,,,,,,,
2017-06-16,8680,8840,8590,8680,8840,158720,,,,,,,,,,
2017-06-19,8680,8720,8630,8680,8690,63186,,,,,,,,,,
2017-06-20,8450,8700,8360,8450,8700,213907,,,,,,,,,,
2017-06-21,8600,8600,8410,8600,8450,95160,,,,,,,,,,
2017-06-22,8580,8630,8520,8580,8600,70449,,,,,,,,,,
2017-06-23,8630,8660,8540,8630,8550,110692,,,,,,,,,,
2017-06-26,8590,8630,8520,8590,8610,38738,,,,,,,,,,
2017-06-27,8490,8590,8470,8490,8590,64198,,,,,,,,,,
2017-06-28,8350,8480,8350,8350,8480,65937,,,,,,,,,,
2017-06-29,8410,8440,8330,8410,8340,47668,,,,,,,,,,
2017-06-30,8470,8540,8410,8470,8450,48558,,,,,,,,,,
2017-07-03,8440,8510,8410,8440,8470,25073,,,,,,,,,,
2017-07-04,8430,8490,8370,8430,8450,44152,,,,,,,,,,
2017-07-05,8340,8440,8300,8340,8430,62841,,,,,,,,,,
2017-07-06,8400,8420,8300,8400,8340,48957,,,,,,,,,,
2017-07-07,8270,8370,8190,8270,8370,91431,,,,,,,,,,
2017-07-10,8100,8320,8100,8100,8320,83141,,,,,,,,,,
2017-07-11,8180,8180,8040,8180,8090,78992,,,,,,,,,,
2017-07-12,8140,8180,8030,8140,8150,72867,,,,,,,,,,
2017-07-13,8040,8120,7950,8040,8120,117249,,,,,,,,,,
2017-07-14,7850,8040,7850,7850,8040,89967,,,,,,,,,,
2017-07-17,8000,8040,7850,8000,7860,103717,,,,,,,,,,
2017-07-18,7970,8050,7940,7970,8020,54824,,,,,,,,,,
2017-07-19,8030,8030,7930,8030,7970,59664,,,,,,,,,,
2017-07-20,8430,8430,7970,8430,8030,250698,,,,,,,,,,
2017-07-21,8430,8500,8350,8430,8420,178865,,,,,,,,,,
2017-07-24,8240,8470,8220,8240,8470,123207,,,,,,,,,,
2017-07-25,8280,8430,8220,8280,8280,95716,,,,,,,,,,
2017-07-26,8300,8410,8290,8300,8340,70591,,,,,,,,,,
2017-07-27,8350,8350,8260,8350,8320,37499,,,,,,,,,,
2017-07-28,8180,8360,8160,8180,8360,89526,,,,,,,,,,
2017-07-31,8180,8270,8100,8180,8100,40980,,,,,,,,,,
2017-08-01,8200,8260,8110,8200,8180,59629,,,,,,,,,,
2017-08-02,8380,8470,8200,8380,8200,145402,,,,,,,,,,
2017-08-03,8300,8460,8250,8300,8450,81858,,,,,,,,,,
2017-08-04,8330,8380,8210,8330,8380,74052,,,,,,,,,,
2017-08-07,8380,8410,8320,8380,8330,35043,,,,,,,,,,
2017-08-08,8330,8380,8290,8330,8380,28242,enter,enter,enter,enter,enter,enter,enter,enter,enter,enter
2017-08-09,8150,8330,8150,8150,8330,93844,,,,,,,,,,
2017-08-10,8200,8280,8120,8200,8150,54760,,,,,,,,,,
2017-08-11,8130,8250,7980,8130,8150,128133,,,,,,,,,,
2017-08-14,8500,8540,8200,8500,8240,193156,,,,,,,,,,
2017-08-16,8580,8620,8470,8580,8560,121847,,,,,,,,,,
2017-08-17,8610,8660,8530,8610,8550,83360,,,,,,,,,,
2017-08-18,8710,8720,8530,8710,8530,115578,,,,,,,,,,
2017-08-21,8730,8920,8670,8730,8740,105319,,,,,,,,,,
2017-08-22,8920,8920,8740,8920,8840,151222,,,,,,,,,,
2017-08-23,8990,9080,8910,8990,8940,331724,,,,,,,,,,
2017-08-24,8820,8980,8740,8820,8980,173195,,,,,,,,,,
2017-08-25,8840,8880,8770,8840,8880,62896,,,,,,,,,,
2017-08-28,8910,8980,8840,8910,8840,91634,,,,,,,,,,
2017-08-29,8960,9020,8750,8960,8920,138307,,,,,,,,,,
2017-08-30,9000,9010,8900,9000,9000,47839,,,,,,,,,,
